key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-member-01,true,"UserIdentity{name: 'Pepe', surname: 'Member', email: 'pepe@acme.com'}",member1,member1
user-account-member-02,true,"UserIdentity{name: 'Juan', surname: 'Heredia', email: 'manuel@acme.com'}",member2,member2
user-account-member-03,true,"UserIdentity{name: 'Alberto', surname: 'Lupa', email: 'alberto@acme.com'}",member3,member3
user-account-member-04,true,"UserIdentity{name: 'Diego', surname: 'Vaco', email: 'diego@acme.com'}",member4,member4
user-account-member-05,true,"UserIdentity{name: 'Rosa', surname: 'Sufragerie', email: 'rosa@acme.com'}",member,member
user-account-technician-01,true,"UserIdentity{name: 'Adrián', surname: 'Benítez', email: 'adrian@acme.com'}",technician1,technician1
user-account-technician-02,true,"UserIdentity{name: 'Carmen', surname: 'Díaz Ruiz', email: 'carmen@acme.com'}",technician2,technician2
user-account-technician-03,true,"UserIdentity{name: 'Rolo', surname: 'Villega', email: 'rolo@acme.com'}",technician3,technician3
user-account-customer-01,true,"UserIdentity{name: 'Pepito', surname: 'Pérez', email: 'elpp@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Manolito', surname: 'Suárez', email: 'mansua@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Chine', surname: 'Nao Hüm', email: 'chinchanchunchin@acme.com'}",customer3,customer3
user-account-administrator-02,true,"UserIdentity{name: 'Administrator1', surname: 'Acme', email: 'administrato1r@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator2', surname: 'Acme', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-manager-01,true,"UserIdentity{name: 'Manager', surname: 'One', email: 'manager1@mail.com' }",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Manager', surname: 'Two', email: 'manager2@mail.com' }",manager2,manager2
